idx,text,y_true,y_pred,ce_loss,margin,entropy,p_max,has_negation,has_comparative,has_number
196,"Upon completion , Keskuskatu will form the backbone of Helsinki 's pedestrianised downtown area , linking up with the city 's other main pedestrian precincts .",Neutral,Neutral,0.6507587432861328,0.04528871178627014,0.7050997614860535,0.5216498374938965,False,False,False
377,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,Bearish,Bearish,0.6049375534057617,0.09381058812141418,0.6994858980178833,0.5461085438728333,False,False,False
371,Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,Neutral,Neutral,0.8107775449752808,0.10360965132713318,1.0575227737426758,0.4445123076438904,False,False,False
265,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",Bullish,Bullish,0.5070062875747681,0.20730063319206238,0.6882833242416382,0.602295994758606,True,False,True
102,U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .,Bearish,Bearish,0.4463575482368469,0.29133719205856323,0.7041149139404297,0.6399549245834351,False,False,True
180,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,Bullish,Bullish,0.42524802684783936,0.315182089805603,0.6831121444702148,0.6536076664924622,False,False,True
209,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,Bearish,Bearish,0.40243250131607056,0.3402412533760071,0.6515326499938965,0.6686914563179016,False,False,False
254,"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",Neutral,Neutral,0.3893541395664215,0.3661007881164551,0.677089273929596,0.6774942874908447,False,False,True
335,Rosen was cautious about being too optimistic inregard to the second half of the year .,Bearish,Bearish,0.3793902099132538,0.3731273114681244,0.6474958062171936,0.6842785477638245,False,False,False
140,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",Bullish,Bullish,0.3753812909126282,0.3788681626319885,0.6463299989700317,0.6870272755622864,False,False,False
